tr_build_id,gh_project_name,tr_log_status,status_code,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_bool_tests_failed,tr_log_testduration,tr_log_setup_time,tr_log_buildduration,build_success_per_minute,missing_setup_time,missing_frameworks,missing_tests_failed,missing_tests_ok,missing_test_duration,tr_log_testduration_outlier,tr_log_num_tests_run_outlier,tr_log_buildduration_outlier
88725993,FasterXML@jackson-databind,unknown,-3,1479.0,0.0,1479.0,False,18.83999999999998,5.0,0.0,1479.0,0,0,0,0,0,0,0,0
88725993,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,7.0,0.0,0.0,0,1,1,1,1,0,1,0
88726230,FasterXML@jackson-databind,unknown,-3,1479.0,0.0,1479.0,False,15.009999999999964,5.0,0.0,1479.0,0,0,0,0,0,0,0,0
88726230,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0,1,1,1,1,0,1,0
88732385,FasterXML@jackson-databind,unknown,-3,1479.0,0.0,1479.0,False,16.29999999999999,5.0,0.0,1479.0,0,0,0,0,0,0,0,0
88732385,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
88950130,FasterXML@jackson-databind,unknown,-3,1479.0,0.0,1479.0,False,19.40000000000006,6.0,0.0,1479.0,0,0,0,0,0,0,0,0
88950130,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0,1,1,1,1,0,1,0
89157311,FasterXML@jackson-databind,unknown,-3,1479.0,0.0,1479.0,False,18.97000000000004,5.0,0.0,1479.0,0,0,0,0,0,0,0,0
89157311,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
89223374,FasterXML@jackson-databind,unknown,-3,1480.0,0.0,1480.0,False,21.680000000000053,5.0,0.0,1480.0,0,0,0,0,0,0,0,0
89223374,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
89262347,FasterXML@jackson-databind,unknown,-3,1479.0,0.0,1479.0,False,29.84000000000013,7.0,0.0,1479.0,0,0,0,0,0,1,0,0
89262347,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,7.0,0.0,0.0,0,1,1,1,1,0,1,0
89466709,FasterXML@jackson-databind,unknown,-3,1479.0,0.0,1479.0,False,29.330000000000098,15.0,0.0,1479.0,0,0,0,0,0,1,0,0
89466709,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,10.0,0.0,0.0,0,1,1,1,1,0,1,0
89482814,FasterXML@jackson-databind,unknown,-3,1480.0,0.0,1480.0,False,19.46000000000005,5.0,0.0,1480.0,0,0,0,0,0,0,0,0
89482814,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0,1,1,1,1,0,1,0
89490661,FasterXML@jackson-databind,unknown,-3,1480.0,0.0,1480.0,False,19.200000000000053,5.0,0.0,1480.0,0,0,0,0,0,0,0,0
89490661,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,7.0,0.0,0.0,0,1,1,1,1,0,1,0
23011193,FasterXML@jackson-databind,unknown,-3,1207.0,1.0,1208.0,True,13.939999999999976,0.0,0.0,1207.0,1,0,0,0,0,0,0,0
89535139,FasterXML@jackson-databind,unknown,-3,1481.0,0.0,1481.0,False,17.480000000000004,7.0,0.0,1481.0,0,0,0,0,0,0,0,0
89535139,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0,1,1,1,1,0,1,0
89547600,FasterXML@jackson-databind,unknown,-3,1482.0,0.0,1482.0,False,18.779999999999998,6.0,0.0,1482.0,0,0,0,0,0,0,0,0
89547600,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0,1,1,1,1,0,1,0
89559936,FasterXML@jackson-databind,unknown,-3,1482.0,0.0,1482.0,False,19.700000000000006,5.0,0.0,1482.0,0,0,0,0,0,0,0,0
89559936,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
89580035,FasterXML@jackson-databind,unknown,-3,1482.0,0.0,1482.0,False,17.440000000000005,5.0,0.0,1482.0,0,0,0,0,0,0,0,0
89580035,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0,1,1,1,1,0,1,0
89581807,FasterXML@jackson-databind,unknown,-3,1482.0,0.0,1482.0,False,15.53999999999997,5.0,0.0,1482.0,0,0,0,0,0,0,0,0
89581807,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
89588121,FasterXML@jackson-databind,unknown,-3,1483.0,0.0,1483.0,False,20.53000000000005,5.0,0.0,1483.0,0,0,0,0,0,0,0,0
89588121,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
89589441,FasterXML@jackson-databind,unknown,-3,1483.0,0.0,1483.0,False,18.24000000000005,5.0,0.0,1483.0,0,0,0,0,0,0,0,0
89589441,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
89770040,FasterXML@jackson-databind,unknown,-3,1484.0,0.0,1484.0,False,15.399999999999975,5.0,0.0,1484.0,0,0,0,0,0,0,0,0
89770040,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
89899316,FasterXML@jackson-databind,unknown,-3,1485.0,0.0,1485.0,False,18.490000000000038,5.0,0.0,1485.0,0,0,0,0,0,0,0,0
89899316,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
89900549,FasterXML@jackson-databind,unknown,-3,1485.0,0.0,1485.0,False,17.910000000000046,5.0,0.0,1485.0,0,0,0,0,0,0,0,0
89900549,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
23095077,FasterXML@jackson-databind,unknown,-3,1207.0,1.0,1208.0,True,8.759999999999971,0.0,0.0,1207.0,1,0,0,0,0,0,0,0
90000688,FasterXML@jackson-databind,unknown,-3,1486.0,0.0,1486.0,False,18.23000000000004,5.0,0.0,1486.0,0,0,0,0,0,0,0,0
90000688,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0,1,1,1,1,0,1,0
90037003,FasterXML@jackson-databind,unknown,-3,1486.0,0.0,1486.0,False,16.78,5.0,0.0,1486.0,0,0,0,0,0,0,0,0
90037003,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0,1,1,1,1,0,1,0
90234514,FasterXML@jackson-databind,unknown,-3,1487.0,0.0,1487.0,False,17.76999999999999,5.0,0.0,1487.0,0,0,0,0,0,0,0,0
90234514,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
90237488,FasterXML@jackson-databind,unknown,-3,1487.0,0.0,1487.0,False,17.93000000000001,5.0,0.0,1487.0,0,0,0,0,0,0,0,0
90237488,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
90244129,FasterXML@jackson-databind,unknown,-3,1489.0,0.0,1489.0,False,17.759999999999994,5.0,0.0,1489.0,0,0,0,0,0,0,0,0
90244129,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,7.0,0.0,0.0,0,1,1,1,1,0,1,0
90676018,FasterXML@jackson-databind,unknown,-3,1490.0,0.0,1490.0,False,17.950000000000003,6.0,0.0,1490.0,0,0,0,0,0,0,0,0
90676018,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,9.0,0.0,0.0,0,1,1,1,1,0,1,0
90894054,FasterXML@jackson-databind,unknown,-3,1491.0,0.0,1491.0,False,19.03000000000005,5.0,0.0,1491.0,0,0,0,0,0,0,0,0
90894054,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
91316576,FasterXML@jackson-databind,unknown,-3,1492.0,0.0,1492.0,False,19.750000000000057,5.0,0.0,1492.0,0,0,0,0,0,0,0,0
91316576,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,75.0,0.0,0.0,0,1,1,1,1,0,1,0
91911961,FasterXML@jackson-databind,unknown,-3,1488.0,7.0,1495.0,True,20.73000000000001,5.0,0.0,1488.0,0,0,0,0,0,0,0,0
91911961,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,4.0,0.0,0.0,0,1,1,1,1,0,1,0
91923423,FasterXML@jackson-databind,unknown,-3,1495.0,0.0,1495.0,False,19.49,5.0,0.0,1495.0,0,0,0,0,0,0,0,0
91923423,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,4.0,0.0,0.0,0,1,1,1,1,0,1,0
23252189,FasterXML@jackson-databind,unknown,-3,1207.0,1.0,1208.0,True,7.949999999999983,0.0,0.0,1207.0,1,0,0,0,0,0,0,0
91924351,FasterXML@jackson-databind,unknown,-3,1495.0,0.0,1495.0,False,21.270000000000035,5.0,0.0,1495.0,0,0,0,0,0,0,0,0
91924351,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,4.0,0.0,0.0,0,1,1,1,1,0,1,0
92353243,FasterXML@jackson-databind,unknown,-3,1493.0,0.0,1493.0,False,22.20000000000004,6.0,0.0,1493.0,0,0,0,0,0,0,0,0
92353243,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
92356645,FasterXML@jackson-databind,unknown,-3,1494.0,0.0,1494.0,False,18.900000000000063,5.0,0.0,1494.0,0,0,0,0,0,0,0,0
92356645,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
92358278,FasterXML@jackson-databind,unknown,-3,1494.0,0.0,1494.0,False,16.819999999999983,5.0,0.0,1494.0,0,0,0,0,0,0,0,0
92358278,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
92399886,FasterXML@jackson-databind,unknown,-3,1494.0,0.0,1494.0,False,18.31000000000001,5.0,0.0,1494.0,0,0,0,0,0,0,0,0
92399886,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
92400637,FasterXML@jackson-databind,unknown,-3,1494.0,0.0,1494.0,False,17.120000000000005,5.0,0.0,1494.0,0,0,0,0,0,0,0,0
92400637,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
92463138,FasterXML@jackson-databind,unknown,-3,1495.0,0.0,1495.0,False,17.89999999999999,5.0,0.0,1495.0,0,0,0,0,0,0,0,0
92463138,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
92463293,FasterXML@jackson-databind,unknown,-3,1495.0,0.0,1495.0,False,14.849999999999962,5.0,0.0,1495.0,0,0,0,0,0,0,0,0
92463293,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0,1,1,1,1,0,1,0
92487917,FasterXML@jackson-databind,unknown,-3,1495.0,0.0,1495.0,False,21.00000000000001,5.0,0.0,1495.0,0,0,0,0,0,0,0,0
92487917,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
93087206,FasterXML@jackson-databind,unknown,-3,1495.0,0.0,1495.0,False,27.450000000000067,5.0,0.0,1495.0,0,0,0,0,0,1,0,0
93087206,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
23253300,FasterXML@jackson-databind,unknown,-3,1208.0,0.0,1208.0,False,7.019999999999985,0.0,0.0,1208.0,1,0,0,0,0,0,0,0
93091121,FasterXML@jackson-databind,unknown,-3,1495.0,0.0,1495.0,False,19.370000000000047,5.0,0.0,1495.0,0,0,0,0,0,0,0,0
93091121,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
93091988,FasterXML@jackson-databind,unknown,-3,1495.0,0.0,1495.0,False,17.680000000000035,5.0,0.0,1495.0,0,0,0,0,0,0,0,0
93091988,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
93093818,FasterXML@jackson-databind,unknown,-3,1495.0,0.0,1495.0,False,18.93000000000001,5.0,0.0,1495.0,0,0,0,0,0,0,0,0
93093818,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
93096205,FasterXML@jackson-databind,unknown,-3,1496.0,0.0,1496.0,False,19.680000000000057,5.0,0.0,1496.0,0,0,0,0,0,0,0,0
93096205,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
93096372,FasterXML@jackson-databind,unknown,-3,1496.0,0.0,1496.0,False,16.69999999999998,5.0,0.0,1496.0,0,0,0,0,0,0,0,0
93096372,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
93098740,FasterXML@jackson-databind,unknown,-3,1496.0,0.0,1496.0,False,14.339999999999977,5.0,0.0,1496.0,0,0,0,0,0,0,0,0
93098740,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
93099605,FasterXML@jackson-databind,unknown,-3,1496.0,0.0,1496.0,False,19.260000000000016,5.0,0.0,1496.0,0,0,0,0,0,0,0,0
93099605,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
93240734,FasterXML@jackson-databind,unknown,-3,1494.0,5.0,1499.0,True,19.760000000000037,4.0,0.0,1494.0,0,0,0,0,0,0,0,0
93240734,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0,1,1,1,1,0,1,0
93241452,FasterXML@jackson-databind,unknown,-3,1499.0,0.0,1499.0,False,30.18000000000004,5.0,0.0,1499.0,0,0,0,0,0,1,0,0
93241452,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,4.0,0.0,0.0,0,1,1,1,1,0,1,0
93429923,FasterXML@jackson-databind,unknown,-3,1496.0,0.0,1496.0,False,18.1,5.0,0.0,1496.0,0,0,0,0,0,0,0,0
93429923,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
23254656,FasterXML@jackson-databind,unknown,-3,1208.0,0.0,1208.0,False,6.889999999999986,0.0,0.0,1208.0,1,0,0,0,0,0,0,0
93430300,FasterXML@jackson-databind,unknown,-3,1496.0,0.0,1496.0,False,16.26999999999998,5.0,0.0,1496.0,0,0,0,0,0,0,0,0
93430300,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
93430305,FasterXML@jackson-databind,unknown,-3,1496.0,0.0,1496.0,False,18.970000000000024,5.0,0.0,1496.0,0,0,0,0,0,0,0,0
93430305,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0,1,1,1,1,0,1,0
93430989,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0,1,1,1,1,0,1,0
93430989,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0,1,1,1,1,0,1,0
93465538,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
93465538,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
93613621,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
93613621,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
93615895,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
93615895,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
93696933,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
93696933,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0,1,1,1,1,0,1,0
93697825,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0,1,1,1,1,0,1,0
93697825,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
93851074,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
93851074,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0,1,1,1,1,0,1,0
93852362,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
93852362,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
23342762,FasterXML@jackson-databind,unknown,-3,1208.0,0.0,1208.0,False,7.339999999999971,0.0,0.0,1208.0,1,0,0,0,0,0,0,0
93854288,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
93854288,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
93855555,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0,1,1,1,1,0,1,0
93855555,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
94062142,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0,1,1,1,1,0,1,0
94062142,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0,1,1,1,1,0,1,0
94064282,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
94064282,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0,1,1,1,1,0,1,0
94065675,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0,1,1,1,1,0,1,0
94065675,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
94309012,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,4.0,0.0,0.0,0,1,1,1,1,0,1,0
94309012,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,4.0,0.0,0.0,0,1,1,1,1,0,1,0
94329485,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0,1,1,1,1,0,1,0
94329485,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0,1,1,1,1,0,1,0
95262394,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,9.0,0.0,0.0,0,1,1,1,1,0,1,0
95262394,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,10.0,0.0,0.0,0,1,1,1,1,0,1,0
95263033,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,10.0,0.0,0.0,0,1,1,1,1,0,1,0
95263033,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,10.0,0.0,0.0,0,1,1,1,1,0,1,0
95294177,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,10.0,0.0,0.0,0,1,1,1,1,0,1,0
95294177,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,12.0,0.0,0.0,0,1,1,1,1,0,1,0
23389025,FasterXML@jackson-databind,unknown,-3,1208.0,0.0,1208.0,False,6.089999999999993,0.0,0.0,1208.0,1,0,0,0,0,0,0,0
95295727,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,10.0,0.0,0.0,0,1,1,1,1,0,1,0
95295727,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,10.0,0.0,0.0,0,1,1,1,1,0,1,0
95509084,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0,1,1,1,1,0,1,0
95509084,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0,1,1,1,1,0,1,0
95742622,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
95742622,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
95743938,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
95743938,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0,1,1,1,1,0,1,0
96119525,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
96119525,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
96202069,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
96202069,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
96321237,FasterXML@jackson-databind,unknown,-3,1501.0,2.0,1503.0,True,21.38000000000004,6.0,0.0,1501.0,0,0,0,0,0,0,0,0
96321237,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
96325349,FasterXML@jackson-databind,unknown,-3,1503.0,1.0,1504.0,True,21.370000000000065,7.0,0.0,1503.0,0,0,0,0,0,0,0,0
96325349,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0,1,1,1,1,0,1,0
96336109,FasterXML@jackson-databind,unknown,-3,1507.0,0.0,1507.0,False,28.66000000000009,6.0,0.0,1507.0,0,0,0,0,0,1,0,0
96336109,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0,1,1,1,1,0,1,0
96336749,FasterXML@jackson-databind,unknown,-3,1507.0,0.0,1507.0,False,22.14000000000004,5.0,0.0,1507.0,0,0,0,0,0,0,0,0
96336749,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0,1,1,1,1,0,1,0
23395567,FasterXML@jackson-databind,unknown,-3,1208.0,0.0,1208.0,False,8.90999999999998,0.0,0.0,1208.0,1,0,0,0,0,0,0,0
96392258,FasterXML@jackson-databind,unknown,-3,1508.0,0.0,1508.0,False,21.27000000000005,5.0,0.0,1508.0,0,0,0,0,0,0,0,0
96392258,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
96396224,FasterXML@jackson-databind,unknown,-3,1508.0,0.0,1508.0,False,22.060000000000045,6.0,0.0,1508.0,0,0,0,0,0,0,0,0
96396224,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0,1,1,1,1,0,1,0
96396521,FasterXML@jackson-databind,unknown,-3,1508.0,0.0,1508.0,False,17.599999999999994,5.0,0.0,1508.0,0,0,0,0,0,0,0,0
96396521,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
96396532,FasterXML@jackson-databind,unknown,-3,1508.0,0.0,1508.0,False,18.51000000000002,5.0,0.0,1508.0,0,0,0,0,0,0,0,0
96396532,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0,1,1,1,1,0,1,0
96397234,FasterXML@jackson-databind,unknown,-3,1508.0,0.0,1508.0,False,20.980000000000025,6.0,0.0,1508.0,0,0,0,0,0,0,0,0
96397234,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
96481414,FasterXML@jackson-databind,unknown,-3,1509.0,0.0,1509.0,False,20.20000000000004,5.0,0.0,1509.0,0,0,0,0,0,0,0,0
96481414,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
97151851,FasterXML@jackson-databind,unknown,-3,1509.0,0.0,1509.0,False,12.199999999999983,5.0,0.0,1509.0,0,0,0,0,0,0,0,0
97151851,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
97606864,FasterXML@jackson-databind,unknown,-3,1510.0,0.0,1510.0,False,13.089999999999982,6.0,0.0,1510.0,0,0,0,0,0,0,0,0
97606864,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,8.0,0.0,0.0,0,1,1,1,1,0,1,0
97613686,FasterXML@jackson-databind,unknown,-3,1510.0,0.0,1510.0,False,11.799999999999985,5.0,0.0,1510.0,0,0,0,0,0,0,0,0
97613686,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0,1,1,1,1,0,1,0
97828222,FasterXML@jackson-databind,unknown,-3,1510.0,0.0,1510.0,False,14.719999999999978,5.0,0.0,1510.0,0,0,0,0,0,0,0,0
97828222,FasterXML@jackson-databind,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,1,0
23396159,FasterXML@jackson-databind,unknown,-3,1204.0,4.0,1208.0,True,6.159999999999985,0.0,0.0,1204.0,1,0,0,0,0,0,0,0
